n,mse,frob,rate1.lb,rate1.ub,rate1.in,rate2.lb,rate2.ub,rate2.in,rate3.lb,rate3.ub,rate3.in,rate4.lb,rate4.ub,rate4.in,rate5.lb,rate5.ub,rate5.in,rate6.lb,rate6.ub,rate6.in,rate7.lb,rate7.ub,rate7.in
100,3.2258844241350517,0.5854730537257381,-0.2204696423719122,1.2034585276777283,1,0.3308499110398797,2.5353166078284572,1,1.2845090867928448,3.690626127403311,1,-0.9140505466128206,1.2294554251011147,1,1.8398587508706865,4.449425199185006,1,1.3366580784030222,3.828100064624,1,-0.7232912491565737,1.4267552191959036,1
200,1.1756698296599928,0.16704152662287716,0.29392785843777525,1.3802474047628959,1,0.9954573534699046,2.494860709439542,1,1.39298345391009,2.9223226417316424,1,-0.7043829188037728,0.7049055595525949,0,2.110975641533831,3.73433320442944,0,0.8056043095818635,2.1968404401105506,1,-0.10908998581344626,0.5227347937747822,1
300,0.6592395301740319,0.07937729518864717,0.8846892539170665,1.9216008984682251,1,0.5392565556313529,1.5488176491821535,1,0.9469476974241889,1.9734577001261524,1,0.3855735167240782,1.3602558613110634,1,1.2483807456431193,2.365258322288101,1,0.44177891093399885,1.419680693239454,0,0.28626012805952183,1.198712618006559,1
400,0.4885505653849583,0.0389433422634484,0.7599821216698941,1.6201427693566752,1,0.6363861492414329,1.4898658182933922,1,1.2596251803728182,2.2022449775870188,1,0.3661539015423913,1.0659776442713864,1,1.303172531857718,2.2669425666931313,1,1.3337545409893168,2.336623975954141,1,-0.03254864168950505,0.6787811796682663,1
500,0.4085878960073808,0.039776361063414034,0.7974386893123769,1.5831495147157648,1,1.0777229022088883,1.9052346984100732,1,0.9416392191939786,1.801450645306825,1,0.31031959637880724,0.9912171217436239,1,1.0544759845346228,1.8637536529102152,0,1.2453942304911847,2.1217164655196967,1,0.29318049014870995,0.9959776324269191,1
600,0.2824506047294577,0.04046299016145417,0.3697149642137752,0.934454015823446,0,1.4197389756295704,2.1945821797317078,0,1.3434233019660125,2.079994301906822,1,0.23861172572653921,0.7678290290106307,1,1.573683941459377,2.357165989351171,1,0.7953301254682758,1.4616672137250486,0,0.268419656197171,0.7753321979277126,1
700,0.30277613350634974,0.027868209630262163,0.7165227716298159,1.382319268375988,1,1.3217230330918612,2.0643083698235767,0,1.5693183208032255,2.3384824759837683,1,0.4348472220928456,1.0033933147400487,1,1.8927231403831324,2.719949761572525,1,0.868753405851727,1.5620728875717205,1,0.1011231380105268,0.5507052142028059,1
800,0.28389508711569117,0.014854226950902388,0.8610776487082126,1.5172682921194875,1,1.0407040139674932,1.7184334011998939,1,1.244880955889632,1.961558636330758,1,0.48163569972283093,1.0597826886184745,1,1.7491035877660193,2.529552191074743,1,1.3250545369504154,2.019875461724858,1,0.2266071080135083,0.7192547683564645,1
900,0.22504570410689975,0.015587892504342084,0.7348311645234529,1.2799473554885288,1,1.1774962607862665,1.8034386501127524,1,1.0873517918735895,1.6897183243910818,0,0.6563812924683979,1.17897619501192,1,1.798899030109919,2.5184360044062584,1,1.1811514617450372,1.8150541696854985,1,0.19158901710573187,0.6286373186599616,1
1000,0.20525247302528285,0.01251531736908348,0.5549492166693677,1.0622974571922998,1,1.0276361271464096,1.621589937659364,1,1.6513783777001139,2.305173849139048,1,0.6763589860436064,1.1776390263340484,1,1.7160784598461147,2.3802317382205214,1,0.9701563950862093,1.547699482942733,1,0.2867538931664667,0.6838795412468399,1
1100,0.1789862892663766,0.009588508801352945,0.6742430795397705,1.1721568286391697,1,0.9023588660957549,1.440257358343097,1,1.2975913540722375,1.8588083821541872,1,0.5115393844723829,0.9648861171773496,1,1.9453146989365706,2.582933678616473,1,1.0358785279510898,1.5862051955667011,1,0.3319041226584714,0.7440480619386227,1
1200,0.16695195044371183,0.011219406325588054,0.7002297630504999,1.1637255673826157,1,0.7309219982334441,1.2129800114479565,0,1.6879226032645829,2.2865578672638756,1,0.4831313059623927,0.900223109865681,1,1.7903197899068435,2.3939705458982594,1,1.1178352506300477,1.651282362737371,1,0.5066702743804813,0.928908274963722,0
1300,0.14617258122859436,0.008367522366351918,0.716893373354352,1.1486059483264115,1,1.1083049014952633,1.608262773472723,1,1.4408366353377284,1.978397388897079,1,0.45481892432848176,0.8561833483559453,1,1.7029365510302943,2.262039968669081,1,1.3336050273980007,1.8527833446860673,1,0.17566867679903506,0.5123639970874863,1
1400,0.1382010599601605,0.007632334429511011,0.9247420395352414,1.390576127771951,1,0.9413965577788852,1.417390510254361,1,1.4720421878714158,1.9876803183536493,1,0.36815075611290216,0.7192599941438335,0,1.6576234383516055,2.187092832413997,1,1.3794683707853759,1.8889950751614801,1,0.395886307928433,0.7465265389080546,1
1500,0.13632923762617138,0.0061122232420731904,0.9331336665979985,1.389665367031284,1,1.0996393020402633,1.5743418810444774,1,1.2525155940257107,1.7332110072767812,0,0.5427098556504459,0.9486206542182614,1,1.6631328547833604,2.1844399895994733,1,1.2507700804509625,1.738138920556167,1,0.3816617959881471,0.7511124719940351,1
1600,0.13575051873851612,0.006729538508622158,0.8201010897597547,1.2471521566762542,1,0.811973544952322,1.263119334695161,1,1.6649149526850417,2.180905133870625,1,0.6269255898209563,1.0205586532110518,1,2.0008804172753454,2.541416739834956,0,1.2429940481206343,1.735335397914792,1,0.348004417976874,0.7049892855802247,1
1700,0.13089942271031985,0.0070553334884732415,0.8149395279068463,1.2523828764056326,1,1.0391997350042477,1.4925232523020244,1,1.5945572240397523,2.092925252332416,1,0.4500773366553469,0.8195091194922738,1,1.8700394658230368,2.39740152098847,1,1.5645904836994797,2.0676707284494973,0,0.36918444595833244,0.6912192373607575,1
1800,0.11465531717829236,0.00683035135637585,0.915768863731646,1.3290133951852607,1,1.0866731394418325,1.5073989499323162,1,1.879624928308222,2.3717229816956147,0,0.5124518273784724,0.8600716819292971,1,1.7235896372570991,2.2054682810986965,1,1.1982990945034375,1.6496199907987945,1,0.22195064278025953,0.5287745089275934,1
1900,0.10553992128716708,0.006303489877981375,0.7661369575884945,1.1441441345600718,1,1.1407375880991468,1.5610629167801453,1,1.4395606527786997,1.8825348259403896,1,0.41279986614778785,0.7331522665084527,0,1.8728364195516296,2.3495498630336105,1,1.5030883910494512,1.9602939531789476,0,0.2428168825497431,0.5385602733811015,1
2000,0.09912381037611907,0.004450944132881976,0.9209286830124874,1.2976906367418546,1,0.9195832322927389,1.2959688154752602,1,1.6546157586824441,2.1014319593804567,1,0.5323687425267971,0.8861807224318259,1,1.535166350859386,1.9722099614670696,0,1.2701864362737663,1.6806537940384447,1,0.3755678559733196,0.6992980283900379,1
2100,0.09614012861671206,0.005508543170013998,0.822959176775854,1.197862171251436,1,1.0840216371165785,1.474180395578533,1,1.3997085469150596,1.8192475663136947,1,0.4080929667906002,0.7148772350146861,0,2.0352958590204935,2.498881292122938,0,1.4863567291389086,1.9035636071718471,1,0.30837467936146934,0.6059758582191553,1
2200,0.0971485380436523,0.0049885620108115775,0.8788610572417992,1.2385229606451602,1,1.061647272522796,1.4624775026564973,1,1.3684410610845181,1.7903271431225298,1,0.8337408499608919,1.187155115430256,0,1.9266132705007468,2.382706549138123,1,1.2875788754685082,1.696266215014143,1,0.34538902178853315,0.6341811217311929,1
2300,0.09258073032425071,0.004081694157275261,0.9336211991273613,1.3041765251914663,1,1.2264330226610602,1.6189720189759549,1,1.4308212499922384,1.8395406466820963,1,0.6952108726770614,1.0303552733802583,1,1.7570590225033116,2.187954035526241,1,1.1925454878153738,1.5824060742594122,1,0.4009870621302962,0.7067509230597226,1
2400,0.08748756670556147,0.003468554222917469,0.6712330446374183,1.0041187083171834,1,1.0409570406267943,1.4136634120910687,1,1.5716079510243361,1.978164669285939,1,0.6430500855828394,0.9583659741043293,1,1.9942702309563567,2.4308957908229543,1,1.366496507482194,1.7618671747646093,1,0.4044586946714217,0.6967093241872251,1
2500,0.08148763969916883,0.002755687514635895,0.777017595797482,1.091510767323961,1,1.1768585997574206,1.5443435783345218,1,1.4606893617304368,1.8582671619692752,1,0.5247713756804077,0.8186709507243556,1,1.9176962627267784,2.3408024348315513,1,1.2729454850614879,1.651824630830924,1,0.42292571020458236,0.7073706589531793,1
2600,0.07467378111663713,0.0026408678201491225,0.7898092509120741,1.1130035627247452,1,1.006442636082051,1.3419438787890543,1,1.5850646675717768,1.9697932250929198,1,0.5537575492918022,0.8473389144551456,1,1.7902201428824407,2.186328640839096,1,1.3745450349141501,1.7407613994908449,1,0.284800735543393,0.5415000595470887,1
2700,0.07770181951208484,0.002784217556566423,0.7081403509214007,1.011595025631625,1,1.185409043071079,1.5471700565810957,1,1.6816371811496809,2.0751946690460032,1,0.530126818807743,0.8164706162807807,1,1.8318601114247448,2.229158598380203,1,1.2780120530212076,1.6521008122637706,1,0.41322780743938947,0.7018072106377699,1
2800,0.07534926826887738,0.0021652999707601085,0.8325378659291343,1.1503282443240357,1,1.0876815368822494,1.4336389962073206,1,1.6937584888377264,2.080716524251863,1,0.5899133118328259,0.8890198083591645,1,1.7364507790061667,2.1230304209650592,1,1.472788689778508,1.8453693104944229,1,0.35460767749371624,0.6140382730948847,1
2900,0.06890861424263496,0.0039192282685470235,0.9876320178392308,1.3240317962821313,1,1.005294678690758,1.3253928226400302,1,1.377310997737512,1.7303045661139047,0,0.5493964900619415,0.8262140419150199,1,1.802918113852456,2.180576291733763,1,1.5033282577934548,1.8714462015513318,0,0.2577917187200614,0.4830569666332675,0
3000,0.06661557496091207,0.0018224187621459754,0.9212008265340499,1.2324383715125906,1,1.054795686282018,1.3783472416297513,1,1.470051173530644,1.8207788686950586,1,0.5298067170640977,0.8023679831339541,1,1.9204665900437012,2.299852097829432,1,1.3277022977305468,1.6685588468983341,1,0.3864514485378135,0.6353586645594269,1
